ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y
1,290,5348.154799,671.7368421
1,291,8516.825356,683.9042691
1,292,9018.47494,675.9085123
1,293,5428.74773,685.9091826
1,294,6970.570248,679.9719008
1,295,8676.305147,675.7463235
1,296,9337.947331,678.6636236
1,297,5250.139601,685.0721747
1,298,5490.922414,678.7543103
1,299,6997.843593,682.2311558
1,300,9179.674623,678.8630653
1,301,9134.897972,682.6546261
1,302,8734.031359,687.8885017
1,303,7398.768665,682.9253417
1,304,9395.168514,685.4822616
1,305,5549.966324,680.1824135
1,306,5613.204137,692.1735612
1,307,5672.443925,689.7531153
1,308,6835.966002,679.6330598
1,309,6885.031286,687.9220705
1,310,7272.350714,689.1171429
1,311,8441.679188,688.3411168
1,312,8555.004946,686.9645507
1,313,8946.28225,688.157129
1,314,8770.554132,685.3818065
1,315,9245.67341,697.5715318
1,316,8873.758702,693.9703669
1,317,9495.149616,688.3785166
1,318,7470.435754,694.5921788
1,319,9077.831367,689.3108952
1,320,5815.673712,694.335535
1,321,7428.903704,693.7649832
1,322,5755.238395,692.7467049
1,323,7143.892588,700.9232135
1,324,8799.70726,700.5901639
1,325,5511.23847,697.8312711
1,326,5839.13941,698.766756
1,327,7082.999441,700.6696478
1,328,7327.710765,699.5181582
1,329,8626.36826,698.2589013
1,330,6769.710012,704.58458
1,331,5706.638353,698.5431145
1,332,9456.914239,698.6593851
1,333,5190.465558,712.3072051
1,334,7382.108129,703.6456196
1,335,9015.803627,710.3889931
1,336,9279.599661,709.2388481
1,337,9318.445279,705.6223176
1,338,7024.118072,712.6849398
1,339,5249.356371,706.3444924
1,340,6922.679943,714.2382646
1,341,9417.43861,710.1173745
1,342,9198.423616,709.4736491
1,343,9120.19637,715.2813531
1,344,8505.286718,718.9980843
1,345,8826.86733,718.973466
1,346,7197.707935,715.0138623
1,347,8557.900075,717.973704
1,348,7450.591652,716.7631579
1,349,8936.015257,714.1726768
1,350,5459.500924,727.3872458
1,351,5781.155449,718.7516026
1,352,5289.923261,711.6746603
1,353,9067.509202,719.7719836
1,354,9381.930952,721.1416667
1,355,5560.594697,720.8958333
1,356,6964.33758,717.9649682
1,357,8459.515471,722.0710994
1,358,8592.665709,718.8687739
1,359,9345.081828,719.0393199
1,360,7243.367837,722.7125693
1,361,7517.223404,724.7434988
1,362,8710.640492,724.4607379
1,363,5494.960507,728.2749627
1,364,5632.609375,722.5610795
1,365,7290.409038,719.9571263
1,366,7322.969992,729.9261963
1,367,9452.411989,728.0570885
1,368,6818.737892,731.048433
1,369,8783.67161,733.0487288
1,370,5686.805295,727.9684031
1,371,5426.940711,732.2450593
1,372,8752.871245,734.2596567
1,373,9144.997826,735.8326087
1,374,9306.862916,740.4690967
1,375,5530.275,739.2863636
1,376,8655.122353,731.6627451
1,377,6731.927765,733.4334086
1,378,6893.405606,737.2894737
1,379,8973.798111,729.4232586
1,380,9097.506899,743.7786443
1,381,7064.10684,738.0881854
1,382,9036.134631,740.0608273
1,383,6968.825083,741.5363036
1,384,9222.362805,741.190331
1,385,5170.441128,745.0323383
1,386,6764.002364,740.4739953
1,387,5604.168429,743.8542296
1,388,6853.201299,742.7119244
1,389,8874.910771,738.2217973
1,390,5737.162404,746.4693095
1,391,5850.023214,749.5669643
1,392,7555.884444,755.3057778
1,393,8520.572435,743.2374245
1,394,9417.446154,749.4421405
1,395,5557.527103,753.2747664
1,396,9529.501883,746.8201507
1,397,6799.070093,747.4174455
1,398,7110.542643,749.7609368
1,399,8913.285956,744.1539763
1,400,9496.317964,749.401537
1,401,7025.574598,750.0872226
1,402,7351.942735,755.4860388
1,403,8591.306548,750.2142857
1,404,5651.396501,749.0952381
1,405,7170.984516,755.4490323
1,406,7496.631769,754.5807117
